Comunidade,Tamanho,Densidade,Densidade Espacial,Fator escolha,Lat,Lon,Porcentagem Crimes,Porcentagem Armas,Porcentagem Horarios,Areas,Subareas
1206,1,0,0,0,34.2782,-118.4833,{'agressao leve': 1.0},{'força fisica e ameacas': 1.0},"{'Manha': 1.0, 'Tarde': 0.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Devonshire'},{1718}
1207,2,0.20315340454644,471.929178183847,191.748038505705,34.26125,-118.3689,"{'vandalismo': 0.5, 'agressao grave': 0.5}","{'Indefinido': 0.5, 'outros': 0.5}","{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'Foothill'},{1655}
1208,3,0.266035504108887,395.213610319454,315.422556156088,34.0454,-118.5318,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.333, 'Tarde': 0.333, 'Noite': 0.333, 'Madrugada': 0.0}",{'West LA'},"{822, 823}"
1209,1,0,0,0,33.908,-118.2902,{'agressao leve': 1.0},{'força fisica e ameacas': 1.0},"{'Manha': 0.0, 'Tarde': 1.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Southeast'},{1871}
1210,2,0.629426902407193,9999.99999966803,12588.538047726,34.15495,-118.6297,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.5, 'Noite': 0.5, 'Madrugada': 0.0}",{'Topanga'},{2183}
1211,1,0,0,0,34.0458,-118.5197,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'West LA'},{802}
1212,2,0.424963117995645,672.672793994528,571.722255853513,34.22435,-118.4425,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.5, 'Tarde': 0.5, 'Noite': 0.0, 'Madrugada': 0.0}",{'Mission'},{1987}
1213,1,0,0,0,34.1861,-118.6585,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'Topanga'},{2141}
1214,1,0,0,0,34.116,-118.4346,{'roubo': 1.0},{'Indefinido': 1.0},"{'Manha': 0.0, 'Tarde': 0.0, 'Noite': 1.0, 'Madrugada': 0.0}",{'West LA'},{808}
1215,5,0.203422939819563,430.095285923164,437.456237325129,34.21578,-118.57066,"{'vandalismo': 0.4, 'roubo': 0.6}",{'Indefinido': 1.0},"{'Manha': 0.2, 'Tarde': 0.0, 'Noite': 0.4, 'Madrugada': 0.4}",{'Topanga'},"{2129, 2118}"
1216,1,0,0,0,34.3182,-118.4378,{'vandalismo': 1.0},{'Indefinido': 1.0},"{'Manha': 1.0, 'Tarde': 0.0, 'Noite': 0.0, 'Madrugada': 0.0}",{'Mission'},{1905}
